ID;PRC;DT_ENTD_PRC;RESULTADO
2034;C;20/11/2020;489
2035;D;20/11/2020;279
2036;E;20/11/2020;427
2037;F;20/11/2020;269
2038;G;20/11/2020;578
2039;H;20/11/2020;287
2040;I;20/11/2020;553
2041;J;20/11/2020;1262
2042;K;20/11/2020;1168
2043;M;20/11/2020;474
2044;N;20/11/2020;336
2045;A;23/11/2020;28
2046;B;23/11/2020;596
2047;C;23/11/2020;444
2048;D;23/11/2020;347
2049;E;23/11/2020;594
2050;F;23/11/2020;160
2051;G;23/11/2020;718
2052;H;23/11/2020;357
2053;I;23/11/2020;558
2054;J;23/11/2020;1319
2055;K;23/11/2020;970
2056;L;23/11/2020;18
2057;M;23/11/2020;502
2058;N;23/11/2020;290
2059;A;24/11/2020;775
2060;B;24/11/2020;683
2061;C;24/11/2020;609
2062;D;24/11/2020;343
2063;E;24/11/2020;761
2064;F;24/11/2020;255
2065;G;24/11/2020;732
2066;H;24/11/2020;332
2067;I;24/11/2020;624
2068;J;24/11/2020;1325
2069;K;24/11/2020;986
2070;L;24/11/2020;174
2071;M;24/11/2020;593
2072;N;24/11/2020;391
2073;A;25/11/2020;565
2074;B;25/11/2020;600
2075;C;25/11/2020;466
2076;D;25/11/2020;369
2077;E;25/11/2020;722
2078;F;25/11/2020;216
2079;G;25/11/2020;751
2080;H;25/11/2020;377
2081;I;25/11/2020;630
2082;J;25/11/2020;1388
2083;K;25/11/2020;1503
2084;L;25/11/2020;6
2085;M;25/11/2020;454
2086;N;25/11/2020;427
2087;A;26/11/2020;509
2088;B;26/11/2020;577
2089;C;26/11/2020;550
2090;D;26/11/2020;284
2091;E;26/11/2020;712
2092;F;26/11/2020;344
2093;G;26/11/2020;625
2094;H;26/11/2020;293
2095;I;26/11/2020;624
2096;J;26/11/2020;1391
2097;K;26/11/2020;1412
2098;M;26/11/2020;566
2099;N;26/11/2020;324
2100;A;27/11/2020;413
2101;B;27/11/2020;517
2102;C;27/11/2020;402
2103;D;27/11/2020;274
2104;E;27/11/2020;626
2105;F;27/11/2020;458
2106;G;27/11/2020;629
2107;H;27/11/2020;295
2108;I;27/11/2020;569
2109;J;27/11/2020;1387
2110;K;27/11/2020;1772
2111;M;27/11/2020;451
2112;N;27/11/2020;390
2113;A;30/11/2020;365
2114;B;30/11/2020;579
2115;C;30/11/2020;610
2116;D;30/11/2020;282
2117;E;30/11/2020;639
2118;F;30/11/2020;369
2119;G;30/11/2020;632
2120;H;30/11/2020;301
2121;I;30/11/2020;473
2122;J;30/11/2020;1367
2123;K;30/11/2020;1075
2124;L;30/11/2020;458
2125;M;30/11/2020;477
2126;N;30/11/2020;276
2127;A;01/12/2020;451
2128;B;01/12/2020;582
2129;C;01/12/2020;510
2130;D;01/12/2020;376
2131;E;01/12/2020;802
2132;F;01/12/2020;452
2133;G;01/12/2020;738
2134;H;01/12/2020;360
2135;I;01/12/2020;504
2136;J;01/12/2020;1192
2137;K;01/12/2020;2169
2138;L;01/12/2020;64
2139;M;01/12/2020;610
2140;N;01/12/2020;430
2141;A;02/12/2020;554
2142;B;02/12/2020;723
2143;C;02/12/2020;544
2144;D;02/12/2020;471
2145;E;02/12/2020;839
2146;F;02/12/2020;453
2147;G;02/12/2020;788
2148;H;02/12/2020;359
2149;I;02/12/2020;506
2150;J;02/12/2020;1357
2151;K;02/12/2020;2087
2152;L;02/12/2020;158
2153;M;02/12/2020;747
2154;N;02/12/2020;451
2155;A;03/12/2020;490
2156;B;03/12/2020;637
2157;C;03/12/2020;555
2158;D;03/12/2020;461
2159;E;03/12/2020;571
2160;F;03/12/2020;362
2161;G;03/12/2020;765
2162;H;03/12/2020;354
2163;I;03/12/2020;575
2164;J;03/12/2020;1420
2165;K;03/12/2020;1307
2166;L;03/12/2020;14
2167;M;03/12/2020;684
2168;N;03/12/2020;436
2169;A;04/12/2020;456
2170;B;04/12/2020;569
2171;C;04/12/2020;529
2172;D;04/12/2020;342
2173;E;04/12/2020;523
2174;F;04/12/2020;383
2175;G;04/12/2020;749
2176;H;04/12/2020;342
2177;I;04/12/2020;638
2178;J;04/12/2020;1642
2179;K;04/12/2020;1215
2180;L;04/12/2020;2589
2181;M;04/12/2020;684
2182;N;04/12/2020;455
2183;A;07/12/2020;509
2184;B;07/12/2020;632
2185;C;07/12/2020;364
2186;D;07/12/2020;397
2187;E;07/12/2020;514
2188;F;07/12/2020;289
2189;G;07/12/2020;708
2190;H;07/12/2020;320
2191;I;07/12/2020;566
2192;J;07/12/2020;1383
2193;K;07/12/2020;1167
2194;L;07/12/2020;63
2195;M;07/12/2020;611
2196;N;07/12/2020;359
2197;A;08/12/2020;459
2198;B;08/12/2020;545
2199;C;08/12/2020;412
2200;D;08/12/2020;278
2201;E;08/12/2020;450
2202;F;08/12/2020;268
2203;G;08/12/2020;643
2204;H;08/12/2020;261
2205;I;08/12/2020;466
2206;J;08/12/2020;991
2207;K;08/12/2020;2641
2208;L;08/12/2020;111
2209;M;08/12/2020;644
2210;N;08/12/2020;259
2211;A;09/12/2020;560
2212;B;09/12/2020;698
2213;C;09/12/2020;510
2214;D;09/12/2020;450
2215;E;09/12/2020;501
2216;F;09/12/2020;187
2217;G;09/12/2020;832
2218;H;09/12/2020;381
2219;I;09/12/2020;493
2220;J;09/12/2020;1092
2221;K;09/12/2020;1055
2222;L;09/12/2020;1331
2223;M;09/12/2020;742
2224;N;09/12/2020;310
2225;A;10/12/2020;517
2226;B;10/12/2020;577
2227;C;10/12/2020;415
2228;D;10/12/2020;331
2229;E;10/12/2020;576
2230;F;10/12/2020;272
2231;G;10/12/2020;828
2232;H;10/12/2020;368
2233;I;10/12/2020;553
2234;J;10/12/2020;1322
2235;K;10/12/2020;1205
2236;M;10/12/2020;636
2237;N;10/12/2020;435
2238;A;11/12/2020;510
2239;B;11/12/2020;700
2240;C;11/12/2020;439
2241;D;11/12/2020;397
2242;E;11/12/2020;491
2243;F;11/12/2020;199
2244;G;11/12/2020;823
2245;H;11/12/2020;363
2246;I;11/12/2020;584
2247;J;11/12/2020;1397
2248;K;11/12/2020;1221
2249;M;11/12/2020;752
2250;N;11/12/2020;422
2251;A;14/12/2020;470
2252;B;14/12/2020;628
2253;C;14/12/2020;477
2254;D;14/12/2020;372
2255;E;14/12/2020;503
2256;F;14/12/2020;359
2257;G;14/12/2020;877
2258;H;14/12/2020;372
2259;I;14/12/2020;360
2260;J;14/12/2020;1199
2261;K;14/12/2020;1290
2262;L;14/12/2020;910
2263;M;14/12/2020;696
2264;N;14/12/2020;416
2265;A;15/12/2020;244
2266;B;15/12/2020;472
2267;C;15/12/2020;545
2268;D;15/12/2020;327
2269;E;15/12/2020;539
2270;F;15/12/2020;173
2271;G;15/12/2020;853
2272;H;15/12/2020;420
2273;I;15/12/2020;606
2274;J;15/12/2020;1525
2275;K;15/12/2020;1703
2276;L;15/12/2020;258
2277;M;15/12/2020;756
2278;N;15/12/2020;470
2279;A;16/12/2020;671
2280;B;16/12/2020;802
2281;C;16/12/2020;425
2282;D;16/12/2020;443
2283;E;16/12/2020;472
2284;F;16/12/2020;278
2285;G;16/12/2020;830
2286;H;16/12/2020;400
2287;I;16/12/2020;513
2288;J;16/12/2020;1304
2289;K;16/12/2020;1077
2290;L;16/12/2020;5
2291;M;16/12/2020;711
2292;N;16/12/2020;540
2293;A;17/12/2020;731
2294;B;17/12/2020;865
2295;C;17/12/2020;503
2296;D;17/12/2020;371
2297;E;17/12/2020;591
2298;F;17/12/2020;381
2299;G;17/12/2020;818
2300;H;17/12/2020;389
2301;I;17/12/2020;463
2302;J;17/12/2020;1337
2303;K;17/12/2020;1202
2304;M;17/12/2020;647
2305;N;17/12/2020;546
2306;A;18/12/2020;291
2307;B;18/12/2020;324
2308;C;18/12/2020;293
2309;D;18/12/2020;349
2310;E;18/12/2020;471
2311;F;18/12/2020;243
2312;G;18/12/2020;707
2313;H;18/12/2020;345
2314;I;18/12/2020;110
2315;J;18/12/2020;1324
2316;K;18/12/2020;1195
2317;L;18/12/2020;108
2318;M;18/12/2020;745
2319;N;18/12/2020;667
2320;A;21/12/2020;485
2321;B;21/12/2020;688
2322;C;21/12/2020;268
2323;D;21/12/2020;381
2324;E;21/12/2020;465
2325;F;21/12/2020;248
2326;G;21/12/2020;729
2327;H;21/12/2020;361
2328;I;21/12/2020;261
2329;J;21/12/2020;1290
2330;K;21/12/2020;1145
2331;L;21/12/2020;17
2332;M;21/12/2020;765
2333;N;21/12/2020;616
2334;A;22/12/2020;475
2335;B;22/12/2020;496
2336;C;22/12/2020;434
2337;D;22/12/2020;337
2338;E;22/12/2020;504
2339;F;22/12/2020;151
2340;G;22/12/2020;600
2341;H;22/12/2020;328
2342;I;22/12/2020;512
2343;J;22/12/2020;1002
2344;K;22/12/2020;1629
2345;M;22/12/2020;651
2346;N;22/12/2020;642
2347;A;23/12/2020;362
2348;B;23/12/2020;383
2349;C;23/12/2020;419
2350;D;23/12/2020;297
2351;E;23/12/2020;426
2352;F;23/12/2020;253
2353;G;23/12/2020;581
2354;H;23/12/2020;296
2355;I;23/12/2020;481
2356;J;23/12/2020;951
2357;K;23/12/2020;1333
2358;L;23/12/2020;114
2359;M;23/12/2020;528
2360;N;23/12/2020;492
2361;A;24/12/2020;107
2362;B;24/12/2020;125
2363;C;24/12/2020;301
2364;D;24/12/2020;97
2365;E;24/12/2020;194
2366;F;24/12/2020;97
2367;G;24/12/2020;269
2368;H;24/12/2020;139
2369;I;24/12/2020;180
2370;J;24/12/2020;768
2371;K;24/12/2020;1136
2372;L;24/12/2020;62
2373;M;24/12/2020;310
2374;N;24/12/2020;338
2375;D;25/12/2020;1
2376;F;25/12/2020;57
2377;G;25/12/2020;1
2378;L;25/12/2020;62
2379;A;28/12/2020;357
2380;B;28/12/2020;361
2381;C;28/12/2020;201
2382;D;28/12/2020;234
2383;E;28/12/2020;418
2384;G;28/12/2020;532
2385;H;28/12/2020;292
2386;I;28/12/2020;226
2387;J;28/12/2020;432
2388;K;28/12/2020;716
2389;L;28/12/2020;5
2390;M;28/12/2020;375
2391;N;28/12/2020;352
2392;A;29/12/2020;261
2393;B;29/12/2020;329
2394;C;29/12/2020;306
2395;D;29/12/2020;334
2396;E;29/12/2020;435
2397;F;29/12/2020;335
2398;G;29/12/2020;501
2399;H;29/12/2020;354
2400;I;29/12/2020;147
2401;J;29/12/2020;734
2402;K;29/12/2020;1569
2403;L;29/12/2020;480
2404;M;29/12/2020;347
2405;N;29/12/2020;346
2406;A;30/12/2020;170
2407;B;30/12/2020;200
2408;C;30/12/2020;416
2409;D;30/12/2020;237
2410;E;30/12/2020;294
2411;F;30/12/2020;193
2412;G;30/12/2020;364
2413;H;30/12/2020;214
2414;I;30/12/2020;234
2415;J;30/12/2020;746
2416;K;30/12/2020;1454
2417;M;30/12/2020;314
2418;N;30/12/2020;222
2419;A;31/12/2020;22
2420;B;31/12/2020;31
2421;C;31/12/2020;315
2422;D;31/12/2020;46
2423;E;31/12/2020;63
2424;F;31/12/2020;139
2425;G;31/12/2020;84
2426;H;31/12/2020;53
2427;I;31/12/2020;102
2428;J;31/12/2020;304
2429;K;31/12/2020;1716
2430;L;31/12/2020;52
2431;M;31/12/2020;127
2432;N;31/12/2020;77
2433;A;01/01/2021;1
2434;D;01/01/2021;9
2435;F;01/01/2021;17
2436;L;01/01/2021;52
2437;A;04/01/2021;172
2438;B;04/01/2021;288
2439;C;04/01/2021;96
2440;D;04/01/2021;999
2441;E;04/01/2021;624
2442;F;04/01/2021;19
2443;G;04/01/2021;429
2444;H;04/01/2021;283
2445;I;04/01/2021;83
2446;J;04/01/2021;216
2447;K;04/01/2021;1621
2448;L;04/01/2021;2507
2449;M;04/01/2021;277
2450;N;04/01/2021;223
2451;A;05/01/2021;314
2452;B;05/01/2021;465
2453;C;05/01/2021;203
2454;D;05/01/2021;764
2455;E;05/01/2021;749
2456;F;05/01/2021;220
2457;G;05/01/2021;557
2458;H;05/01/2021;324
2459;I;05/01/2021;93
2460;J;05/01/2021;403
2461;K;05/01/2021;3294
2462;L;05/01/2021;286
2463;M;05/01/2021;395
2464;N;05/01/2021;264
2465;A;06/01/2021;425
2466;B;06/01/2021;438
2467;C;06/01/2021;152
2468;D;06/01/2021;676
2469;E;06/01/2021;753
2470;F;06/01/2021;203
2471;G;06/01/2021;521
2472;H;06/01/2021;247
2473;I;06/01/2021;95
2474;J;06/01/2021;344
2475;K;06/01/2021;1297
2476;L;06/01/2021;153
2477;M;06/01/2021;311
2478;N;06/01/2021;218
2479;A;07/01/2021;428
2480;B;07/01/2021;369
2481;C;07/01/2021;152
2482;D;07/01/2021;676
2483;E;07/01/2021;695
2484;F;07/01/2021;161
2485;G;07/01/2021;408
2486;H;07/01/2021;217
2487;I;07/01/2021;143
2488;J;07/01/2021;352
2489;K;07/01/2021;1161
2490;M;07/01/2021;357
2491;N;07/01/2021;179
2492;A;08/01/2021;324
2493;B;08/01/2021;293
2494;C;08/01/2021;148
2495;D;08/01/2021;489
2496;E;08/01/2021;613
2497;F;08/01/2021;214
2498;G;08/01/2021;327
2499;H;08/01/2021;186
2500;I;08/01/2021;218
2501;J;08/01/2021;549
2502;K;08/01/2021;1156
2503;L;08/01/2021;116
2504;M;08/01/2021;253
2505;N;08/01/2021;186
2506;A;11/01/2021;401
2507;B;11/01/2021;315
2508;C;11/01/2021;188
2509;D;11/01/2021;555
2510;E;11/01/2021;593
2511;F;11/01/2021;186
2512;G;11/01/2021;303
2513;H;11/01/2021;152
2514;I;11/01/2021;294
2515;J;11/01/2021;529
2516;K;11/01/2021;1164
2517;L;11/01/2021;1569
2518;M;11/01/2021;284
2519;N;11/01/2021;155
2520;A;12/01/2021;429
2521;B;12/01/2021;330
2522;C;12/01/2021;244
2523;D;12/01/2021;482
2524;E;12/01/2021;668
2525;F;12/01/2021;246
2526;G;12/01/2021;495
2527;H;12/01/2021;247
2528;I;12/01/2021;313
2529;J;12/01/2021;725
2530;K;12/01/2021;1503
2531;M;12/01/2021;449
2532;N;12/01/2021;193
2533;A;13/01/2021;398
2534;B;13/01/2021;298
2535;C;13/01/2021;262
2536;D;13/01/2021;498
2537;E;13/01/2021;631
2538;F;13/01/2021;238
2539;G;13/01/2021;519
2540;H;13/01/2021;252
2541;I;13/01/2021;288
2542;J;13/01/2021;707
2543;K;13/01/2021;1865
2544;M;13/01/2021;453
2545;N;13/01/2021;265
2546;A;14/01/2021;515
2547;B;14/01/2021;347
2548;C;14/01/2021;253
2549;D;14/01/2021;452
2550;E;14/01/2021;625
2551;F;14/01/2021;310
2552;G;14/01/2021;537
2553;H;14/01/2021;253
2554;I;14/01/2021;337
2555;J;14/01/2021;801
2556;K;14/01/2021;1192
2557;L;14/01/2021;1265
2558;M;14/01/2021;430
2559;N;14/01/2021;311
2560;A;15/01/2021;380
2561;B;15/01/2021;293
2562;C;15/01/2021;294
2563;D;15/01/2021;356
2564;E;15/01/2021;537
2565;F;15/01/2021;170
2566;G;15/01/2021;454
2567;H;15/01/2021;257
2568;I;15/01/2021;310
2569;J;15/01/2021;928
2570;K;15/01/2021;1124
2571;L;15/01/2021;14
2572;M;15/01/2021;426
2573;N;15/01/2021;307
2574;A;18/01/2021;482
2575;B;18/01/2021;315
2576;C;18/01/2021;329
2577;D;18/01/2021;456
2578;E;18/01/2021;679
2579;F;18/01/2021;214
2580;G;18/01/2021;493
2581;H;18/01/2021;256
2582;I;18/01/2021;315
2583;J;18/01/2021;913
2584;K;18/01/2021;1088
2585;L;18/01/2021;113
2586;M;18/01/2021;385
2587;N;18/01/2021;270
2588;A;19/01/2021;532
2589;B;19/01/2021;342
2590;C;19/01/2021;327
2591;D;19/01/2021;571
2592;E;19/01/2021;705
2593;F;19/01/2021;321
2594;G;19/01/2021;518
2595;H;19/01/2021;276
2596;I;19/01/2021;275
2597;J;19/01/2021;995
2598;K;19/01/2021;2118
2599;L;19/01/2021;293
2600;M;19/01/2021;419
2601;N;19/01/2021;276
2602;A;20/01/2021;455
2603;B;20/01/2021;324
2604;C;20/01/2021;414
2605;D;20/01/2021;471
2606;E;20/01/2021;569
2607;F;20/01/2021;239
2608;G;20/01/2021;600
2609;H;20/01/2021;288
2610;I;20/01/2021;340
2611;J;20/01/2021;1018
2612;K;20/01/2021;1097
2613;M;20/01/2021;408
2614;N;20/01/2021;233
2615;A;21/01/2021;484
2616;B;21/01/2021;266
2617;C;21/01/2021;370
2618;D;21/01/2021;614
2619;E;21/01/2021;630
2620;F;21/01/2021;167
2621;G;21/01/2021;624
2622;H;21/01/2021;326
2623;I;21/01/2021;359
2624;J;21/01/2021;1095
2625;K;21/01/2021;1054
2626;L;21/01/2021;1
2627;M;21/01/2021;422
2628;N;21/01/2021;294
2629;A;22/01/2021;534
2630;B;22/01/2021;618
2631;C;22/01/2021;409
2632;D;22/01/2021;412
2633;E;22/01/2021;629
2634;F;22/01/2021;186
2635;G;22/01/2021;656
2636;H;22/01/2021;342
2637;I;22/01/2021;405
2638;J;22/01/2021;1114
2639;K;22/01/2021;1153
2640;L;22/01/2021;18
2641;M;22/01/2021;356
2642;N;22/01/2021;368
2643;G;23/01/2021;1
2644;H;23/01/2021;1
2645;A;25/01/2021;246
2646;B;25/01/2021;139
2647;C;25/01/2021;280
2648;D;25/01/2021;416
2649;E;25/01/2021;563
2650;F;25/01/2021;127
2651;G;25/01/2021;539
2652;H;25/01/2021;346
2653;I;25/01/2021;384
2654;J;25/01/2021;1387
2655;L;25/01/2021;551
2656;M;25/01/2021;289
2657;N;25/01/2021;426
2658;A;26/01/2021;765
2659;B;26/01/2021;582
2660;C;26/01/2021;301
2661;D;26/01/2021;441
2662;E;26/01/2021;670
2663;F;26/01/2021;265
2664;G;26/01/2021;716
2665;H;26/01/2021;370
2666;I;26/01/2021;254
2667;J;26/01/2021;1094
2668;K;26/01/2021;2280
2669;L;26/01/2021;4
2670;M;26/01/2021;397
2671;N;26/01/2021;303
2672;A;27/01/2021;521
2673;B;27/01/2021;284
2674;C;27/01/2021;447
2675;D;27/01/2021;551
2676;E;27/01/2021;635
2677;F;27/01/2021;257
2678;G;27/01/2021;722
2679;H;27/01/2021;395
2680;I;27/01/2021;570
2681;J;27/01/2021;962
2682;K;27/01/2021;1271
2683;L;27/01/2021;1
2684;M;27/01/2021;368
2685;N;27/01/2021;334
2686;A;28/01/2021;505
2687;B;28/01/2021;269
2688;C;28/01/2021;508
2689;D;28/01/2021;562
2690;E;28/01/2021;594
2691;F;28/01/2021;202
2692;G;28/01/2021;577
2693;H;28/01/2021;333
2694;I;28/01/2021;491
2695;J;28/01/2021;1545
2696;K;28/01/2021;2625
2697;M;28/01/2021;416
2698;N;28/01/2021;299
2699;A;29/01/2021;434
2700;B;29/01/2021;238
2701;C;29/01/2021;549
2702;D;29/01/2021;409
2703;E;29/01/2021;459
2704;F;29/01/2021;168
2705;G;29/01/2021;415
2706;H;29/01/2021;266
2707;I;29/01/2021;430
2708;J;29/01/2021;1004
2709;K;29/01/2021;1310
2710;M;29/01/2021;341
2711;N;29/01/2021;370
2712;A;01/02/2021;426
2713;B;01/02/2021;283
2714;C;01/02/2021;388
2715;D;01/02/2021;694
2716;E;01/02/2021;943
2717;F;01/02/2021;200
2718;G;01/02/2021;619
2719;H;01/02/2021;582
2720;I;01/02/2021;386
2721;J;01/02/2021;1237
2722;K;01/02/2021;1602
2723;L;01/02/2021;21
2724;M;01/02/2021;474
2725;N;01/02/2021;389
2726;A;02/02/2021;497
2727;B;02/02/2021;26
2728;C;02/02/2021;490
2729;D;02/02/2021;439
2730;E;02/02/2021;552
2731;F;02/02/2021;271
2732;G;02/02/2021;623
2733;H;02/02/2021;378
2734;I;02/02/2021;324
2735;J;02/02/2021;1243
2736;K;02/02/2021;2433
2737;M;02/02/2021;587
2738;N;02/02/2021;329
2739;A;03/02/2021;562
2740;B;03/02/2021;2
2741;C;03/02/2021;426
2742;D;03/02/2021;465
2743;E;03/02/2021;594
2744;F;03/02/2021;348
2745;G;03/02/2021;677
2746;H;03/02/2021;399
2747;I;03/02/2021;388
2748;J;03/02/2021;1334
2749;K;03/02/2021;2066
2750;L;03/02/2021;14
2751;M;03/02/2021;534
2752;N;03/02/2021;332
2753;A;04/02/2021;522
2754;B;04/02/2021;2
2755;C;04/02/2021;540
2756;D;04/02/2021;437
2757;E;04/02/2021;581
2758;F;04/02/2021;245
2759;G;04/02/2021;664
2760;H;04/02/2021;366
2761;I;04/02/2021;444
2762;J;04/02/2021;1201
2763;K;04/02/2021;1478
2764;L;04/02/2021;2279
2765;M;04/02/2021;463
2766;N;04/02/2021;311
2767;A;05/02/2021;421
2768;B;05/02/2021;21
2769;C;05/02/2021;404
2770;D;05/02/2021;377
2771;E;05/02/2021;549
2772;F;05/02/2021;397
2773;G;05/02/2021;772
2774;H;05/02/2021;399
2775;I;05/02/2021;345
2776;J;05/02/2021;987
2777;K;05/02/2021;1402
2778;M;05/02/2021;407
2779;N;05/02/2021;366
2780;A;08/02/2021;570
2781;B;08/02/2021;118
2782;C;08/02/2021;470
2783;D;08/02/2021;323
2784;E;08/02/2021;551
2785;F;08/02/2021;258
2786;G;08/02/2021;767
2787;H;08/02/2021;414
2788;I;08/02/2021;354
2789;J;08/02/2021;1431
2790;K;08/02/2021;1480
2791;L;08/02/2021;198
2792;M;08/02/2021;478
2793;N;08/02/2021;368
2794;A;09/02/2021;535
2795;B;09/02/2021;94
2796;C;09/02/2021;458
2797;D;09/02/2021;357
2798;E;09/02/2021;638
2799;F;09/02/2021;171
2800;G;09/02/2021;798
2801;H;09/02/2021;459
2802;I;09/02/2021;365
2803;J;09/02/2021;1378
2804;K;09/02/2021;1771
2805;L;09/02/2021;1549
2806;M;09/02/2021;538
2807;N;09/02/2021;361
2808;A;10/02/2021;649
2809;B;10/02/2021;127
2810;C;10/02/2021;489
2811;D;10/02/2021;357
2812;E;10/02/2021;570
2813;F;10/02/2021;196
2814;G;10/02/2021;735
2815;H;10/02/2021;418
2816;I;10/02/2021;403
2817;J;10/02/2021;1175
2818;K;10/02/2021;1255
2819;M;10/02/2021;392
2820;N;10/02/2021;325
2821;A;11/02/2021;613
2822;B;11/02/2021;78
2823;C;11/02/2021;501
2824;D;11/02/2021;368
2825;E;11/02/2021;584
2826;F;11/02/2021;274
2827;G;11/02/2021;810
2828;H;11/02/2021;439
2829;I;11/02/2021;568
2830;J;11/02/2021;1346
2831;K;11/02/2021;1316
2832;M;11/02/2021;460
2833;N;11/02/2021;327
2834;A;12/02/2021;543
2835;B;12/02/2021;93
2836;C;12/02/2021;407
2837;D;12/02/2021;330
2838;E;12/02/2021;605
2839;F;12/02/2021;199
2840;G;12/02/2021;696
2841;H;12/02/2021;454
2842;I;12/02/2021;594
2843;J;12/02/2021;1410
2844;K;12/02/2021;1358
2845;M;12/02/2021;420
2846;N;12/02/2021;393
2847;A;15/02/2021;4
2848;D;15/02/2021;96
2849;F;15/02/2021;481
2850;G;15/02/2021;1
2851;L;15/02/2021;1049
2852;M;15/02/2021;12
2853;N;15/02/2021;2
2854;D;16/02/2021;36
2855;F;16/02/2021;214
2856;L;16/02/2021;268
2857;A;17/02/2021;643
2858;B;17/02/2021;87
2859;C;17/02/2021;424
2860;D;17/02/2021;258
2861;E;17/02/2021;454
2862;F;17/02/2021;243
2863;G;17/02/2021;677
2864;H;17/02/2021;408
2865;I;17/02/2021;434
2866;J;17/02/2021;1268
2867;K;17/02/2021;1384
2868;M;17/02/2021;374
2869;N;17/02/2021;265
2870;A;18/02/2021;596
2871;B;18/02/2021;49
2872;C;18/02/2021;621
2873;D;18/02/2021;368
2874;E;18/02/2021;645
2875;F;18/02/2021;272
2876;G;18/02/2021;788
2877;H;18/02/2021;472
2878;I;18/02/2021;441
2879;J;18/02/2021;2510
2880;K;18/02/2021;2094
2881;L;18/02/2021;108
2882;M;18/02/2021;387
2883;N;18/02/2021;290
2884;A;19/02/2021;601
2885;B;19/02/2021;70
2886;C;19/02/2021;597
2887;D;19/02/2021;318
2888;E;19/02/2021;728
2889;F;19/02/2021;337
2890;G;19/02/2021;744
2891;H;19/02/2021;554
2892;I;19/02/2021;430
2893;J;19/02/2021;1908
2894;K;19/02/2021;1424
2895;L;19/02/2021;321
2896;M;19/02/2021;432
2897;N;19/02/2021;370
2898;A;22/02/2021;578
2899;B;22/02/2021;81
2900;C;22/02/2021;734
2901;D;22/02/2021;327
2902;E;22/02/2021;618
2903;F;22/02/2021;215
2904;G;22/02/2021;818
2905;H;22/02/2021;512
2906;I;22/02/2021;435
2907;J;22/02/2021;1565
2908;K;22/02/2021;1198
2909;L;22/02/2021;231
2910;M;22/02/2021;409
2911;N;22/02/2021;319
2912;A;23/02/2021;688
2913;B;23/02/2021;88
2914;C;23/02/2021;680
2915;D;23/02/2021;395
2916;E;23/02/2021;683
2917;F;23/02/2021;297
2918;G;23/02/2021;865
2919;H;23/02/2021;485
2920;I;23/02/2021;451
2921;J;23/02/2021;1642
2922;K;23/02/2021;1656
2923;L;23/02/2021;6
2924;M;23/02/2021;377
2925;N;23/02/2021;381
2926;A;24/02/2021;553
2927;B;24/02/2021;84
2928;C;24/02/2021;754
2929;D;24/02/2021;384
2930;E;24/02/2021;672
2931;F;24/02/2021;238
2932;G;24/02/2021;829
2933;H;24/02/2021;505
2934;I;24/02/2021;500
2935;J;24/02/2021;1601
2936;K;24/02/2021;1232
2937;M;24/02/2021;311
2938;N;24/02/2021;334
2939;A;25/02/2021;530
2940;B;25/02/2021;66
2941;C;25/02/2021;585
2942;D;25/02/2021;342
2943;E;25/02/2021;715
2944;F;25/02/2021;376
2945;G;25/02/2021;753
2946;H;25/02/2021;463
2947;I;25/02/2021;610
2948;J;25/02/2021;1637
2949;K;25/02/2021;1120
2950;M;25/02/2021;410
2951;N;25/02/2021;320
2952;A;26/02/2021;451
2953;B;26/02/2021;51
2954;C;26/02/2021;622
2955;D;26/02/2021;263
2956;E;26/02/2021;630
2957;F;26/02/2021;323
2958;G;26/02/2021;607
2959;H;26/02/2021;385
2960;I;26/02/2021;460
2961;J;26/02/2021;1410
2962;K;26/02/2021;1124
2963;L;26/02/2021;2
2964;M;26/02/2021;359
2965;N;26/02/2021;339
2966;A;01/03/2021;483
2967;B;01/03/2021;73
2968;C;01/03/2021;714
2969;D;01/03/2021;379
2970;E;01/03/2021;580
2971;F;01/03/2021;408
2972;G;01/03/2021;764
2973;H;01/03/2021;459
2974;I;01/03/2021;387
2975;J;01/03/2021;1333
2976;K;01/03/2021;1583
2977;L;01/03/2021;533
2978;M;01/03/2021;471
2979;N;01/03/2021;320
2980;O;01/03/2021;848
2981;A;02/03/2021;547
2982;B;02/03/2021;96
2983;C;02/03/2021;733
2984;D;02/03/2021;358
2985;E;02/03/2021;667
2986;F;02/03/2021;266
2987;G;02/03/2021;750
2988;H;02/03/2021;488
2989;I;02/03/2021;553
2990;J;02/03/2021;1322
2991;K;02/03/2021;3181
2992;L;02/03/2021;330
2993;M;02/03/2021;524
2994;N;02/03/2021;375
2995;O;02/03/2021;2675
2996;A;03/03/2021;523
2997;B;03/03/2021;79
2998;C;03/03/2021;543
2999;D;03/03/2021;408
3000;E;03/03/2021;594
3001;F;03/03/2021;347
3002;G;03/03/2021;824
3003;H;03/03/2021;449
3004;I;03/03/2021;588
3005;J;03/03/2021;1441
3006;K;03/03/2021;1440
3007;L;03/03/2021;14
3008;M;03/03/2021;530
3009;N;03/03/2021;415
3010;O;03/03/2021;3125
3011;A;04/03/2021;569
3012;B;04/03/2021;109
3013;C;04/03/2021;546
3014;D;04/03/2021;365
3015;E;04/03/2021;647
3016;F;04/03/2021;350
3017;G;04/03/2021;801
3018;H;04/03/2021;446
3019;I;04/03/2021;491
3020;J;04/03/2021;1310
3021;K;04/03/2021;1451
3022;L;04/03/2021;2313
