ID;PRC;DT_ENTD_PRC;RESULTADO
338;F;04/06/2020;589
339;G;04/06/2020;630
340;H;04/06/2020;236
341;I;04/06/2020;295
342;J;04/06/2020;1281
343;K;04/06/2020;1468
344;L;04/06/2020;2562
345;M;04/06/2020;452
346;N;04/06/2020;273
347;O;04/06/2020;1089
348;A;05/06/2020;413
349;B;05/06/2020;531
350;C;05/06/2020;521
351;D;05/06/2020;257
352;E;05/06/2020;316
353;F;05/06/2020;492
354;G;05/06/2020;494
355;H;05/06/2020;207
356;I;05/06/2020;689
357;J;05/06/2020;1253
358;K;05/06/2020;1543
359;L;05/06/2020;172
360;M;05/06/2020;242
361;N;05/06/2020;395
362;O;05/06/2020;2186
363;A;08/06/2020;481
364;B;08/06/2020;566
365;C;08/06/2020;457
366;D;08/06/2020;221
367;E;08/06/2020;383
368;F;08/06/2020;512
369;G;08/06/2020;587
370;H;08/06/2020;256
371;I;08/06/2020;464
372;J;08/06/2020;1374
373;K;08/06/2020;1162
374;L;08/06/2020;1346
375;M;08/06/2020;354
376;N;08/06/2020;399
377;O;08/06/2020;2254
378;A;09/06/2020;450
379;B;09/06/2020;540
380;C;09/06/2020;451
381;D;09/06/2020;306
382;E;09/06/2020;428
383;F;09/06/2020;375
384;G;09/06/2020;684
385;H;09/06/2020;277
386;I;09/06/2020;386
387;J;09/06/2020;1630
388;K;09/06/2020;1268
389;M;09/06/2020;246
390;N;09/06/2020;396
391;O;09/06/2020;1980
392;A;10/06/2020;461
393;B;10/06/2020;523
394;C;10/06/2020;695
395;D;10/06/2020;371
396;E;10/06/2020;423
397;F;10/06/2020;428
398;G;10/06/2020;600
399;H;10/06/2020;276
400;I;10/06/2020;843
401;J;10/06/2020;1550
402;K;10/06/2020;906
403;M;10/06/2020;264
404;N;10/06/2020;342
405;O;10/06/2020;1769
406;C;11/06/2020;2
407;D;11/06/2020;22
408;F;11/06/2020;487
409;I;11/06/2020;2
410;J;11/06/2020;25
411;N;11/06/2020;1
412;A;12/06/2020;369
413;B;12/06/2020;430
414;C;12/06/2020;598
415;D;12/06/2020;173
416;E;12/06/2020;276
417;F;12/06/2020;118
418;G;12/06/2020;600
419;H;12/06/2020;265
420;I;12/06/2020;432
421;J;12/06/2020;1490
422;K;12/06/2020;1958
423;M;12/06/2020;228
424;N;12/06/2020;356
425;O;12/06/2020;2639
426;A;15/06/2020;174
427;B;15/06/2020;511
428;C;15/06/2020;604
429;D;15/06/2020;232
430;E;15/06/2020;340
431;F;15/06/2020;361
432;G;15/06/2020;567
433;H;15/06/2020;279
434;I;15/06/2020;462
435;J;15/06/2020;1772
436;K;15/06/2020;1184
437;L;15/06/2020;933
438;M;15/06/2020;216
439;N;15/06/2020;413
440;O;15/06/2020;3213
441;A;16/06/2020;423
442;B;16/06/2020;516
443;C;16/06/2020;429
444;D;16/06/2020;348
445;E;16/06/2020;461
446;F;16/06/2020;473
447;G;16/06/2020;739
448;H;16/06/2020;324
449;I;16/06/2020;457
450;J;16/06/2020;1441
451;K;16/06/2020;1433
452;L;16/06/2020;254
453;M;16/06/2020;275
454;N;16/06/2020;441
455;O;16/06/2020;1876
456;A;17/06/2020;562
457;B;17/06/2020;535
458;C;17/06/2020;542
459;D;17/06/2020;283
460;E;17/06/2020;532
461;F;17/06/2020;230
462;G;17/06/2020;718
463;H;17/06/2020;270
464;I;17/06/2020;470
465;J;17/06/2020;1492
466;L;17/06/2020;1
467;M;17/06/2020;387
468;N;17/06/2020;402
469;O;17/06/2020;634
470;A;18/06/2020;479
471;B;18/06/2020;516
472;C;18/06/2020;326
473;D;18/06/2020;294
474;E;18/06/2020;438
475;F;18/06/2020;528
476;G;18/06/2020;807
477;H;18/06/2020;319
478;I;18/06/2020;371
479;J;18/06/2020;1674
480;K;18/06/2020;1842
481;L;18/06/2020;109
482;M;18/06/2020;364
483;N;18/06/2020;350
484;O;18/06/2020;2609
485;A;19/06/2020;400
486;B;19/06/2020;420
487;C;19/06/2020;609
488;D;19/06/2020;239
489;E;19/06/2020;395
490;F;19/06/2020;330
491;G;19/06/2020;804
492;H;19/06/2020;282
493;I;19/06/2020;557
494;J;19/06/2020;722
495;K;19/06/2020;955
496;L;19/06/2020;221
497;M;19/06/2020;379
498;N;19/06/2020;369
499;O;19/06/2020;1560
500;A;22/06/2020;421
501;B;22/06/2020;426
502;C;22/06/2020;520
503;D;22/06/2020;247
504;E;22/06/2020;387
505;F;22/06/2020;374
506;G;22/06/2020;702
507;H;22/06/2020;311
508;I;22/06/2020;619
509;J;22/06/2020;954
510;K;22/06/2020;1112
511;L;22/06/2020;19
512;M;22/06/2020;359
513;N;22/06/2020;384
514;O;22/06/2020;1960
515;A;23/06/2020;436
516;B;23/06/2020;405
517;C;23/06/2020;483
518;D;23/06/2020;251
519;E;23/06/2020;504
520;F;23/06/2020;222
521;G;23/06/2020;833
522;H;23/06/2020;296
523;I;23/06/2020;468
524;J;23/06/2020;1149
525;K;23/06/2020;1492
526;M;23/06/2020;405
527;N;23/06/2020;401
528;O;23/06/2020;1172
529;A;24/06/2020;300
530;B;24/06/2020;334
531;C;24/06/2020;415
532;D;24/06/2020;221
533;E;24/06/2020;324
534;F;24/06/2020;265
535;G;24/06/2020;845
536;H;24/06/2020;311
537;I;24/06/2020;430
538;J;24/06/2020;770
539;K;24/06/2020;1064
540;L;24/06/2020;205
541;M;24/06/2020;282
542;N;24/06/2020;412
543;O;24/06/2020;948
544;A;25/06/2020;305
545;B;25/06/2020;316
546;C;25/06/2020;478
547;D;25/06/2020;238
548;E;25/06/2020;537
549;F;25/06/2020;377
550;G;25/06/2020;1062
551;H;25/06/2020;377
552;I;25/06/2020;445
553;J;25/06/2020;948
554;K;25/06/2020;1064
555;L;25/06/2020;8
556;M;25/06/2020;382
557;N;25/06/2020;439
558;O;25/06/2020;872
559;A;26/06/2020;227
560;B;26/06/2020;251
561;C;26/06/2020;411
562;D;26/06/2020;233
563;E;26/06/2020;416
564;F;26/06/2020;326
565;G;26/06/2020;1086
566;H;26/06/2020;373
567;I;26/06/2020;394
568;J;26/06/2020;1329
569;K;26/06/2020;1065
570;L;26/06/2020;11
571;M;26/06/2020;504
572;N;26/06/2020;353
573;O;26/06/2020;870
574;A;29/06/2020;159
575;B;29/06/2020;191
576;C;29/06/2020;519
577;D;29/06/2020;210
578;E;29/06/2020;392
579;F;29/06/2020;495
580;G;29/06/2020;1085
581;H;29/06/2020;404
582;I;29/06/2020;454
583;J;29/06/2020;1175
584;K;29/06/2020;1102
585;L;29/06/2020;471
586;M;29/06/2020;396
587;N;29/06/2020;328
588;O;29/06/2020;1443
589;A;30/06/2020;85
590;B;30/06/2020;114
591;C;30/06/2020;587
592;D;30/06/2020;232
593;E;30/06/2020;421
594;F;30/06/2020;437
595;G;30/06/2020;1039
596;H;30/06/2020;362
597;I;30/06/2020;426
598;J;30/06/2020;1061
599;K;30/06/2020;1180
600;L;30/06/2020;13
601;M;30/06/2020;480
602;N;30/06/2020;341
603;O;30/06/2020;1254
604;A;01/07/2020;297
